# Compound	Coefficient
Acetic_acid_aq	0.007229339899323969
Adenine	0.11350807019938425
Adenosine_monophosphate	0.0
Ca-DPA_cryst	0.06234631233218997
Citric_acid	0.0
Cytosine_aq	0.1425644609019379
D-Lactic_acid	0.06435155011856895
D-Mannose_aq	0.0364117369965222
DPA_cryst	0.10930906069178695
Glycine	0.0
Guanine	0.009737937840786587
Hypoxanthine	0.0
L-Alanine	0.0
L-Arginine	0.0
L-Asparagine	0.0
L-Aspartic_acid	0.0
L-Cysteine_aq	0.0
L-Glutamic_acid	0.0
L-Glutamine	0.0
L-Histidine	0.09269283218974145
L-Histidine_aq	0.0070747334983066274
L-Isoleucine	0.0
L-Leucine	0.0
L-Lysine	0.05095693888747153
L-Methionine_aq	0.011857997898953686
L-Phenylalanine	0.0
L-Phenylalanine_aq	0.03098115099660011
L-Proline	0.0
L-Serine	0.0
L-Threonine	0.0
L-Tryptophan	0.029428452869129807
L-Tyrosine	0.0
L-Valine	0.0
N-Acetylglucosamine_aq	0.01950252071605874
N-Acetylmuramic_acid	0.0
Peptidoglycan	0.00976767725931813
Succinic_acid	0.03771334544723834
Thymine	0.04138259881753137
Uracil	0.03254611745818366
Uric_acid	0.0011177834350319135
Xanthine	0.059386866815557125
intercept	0.5820309804827247
