# Compound	Coefficient
Acetic_acid_aq	0.0
Adenine	0.05316228012536437
Adenosine_monophosphate	0.0
Ca-DPA_cryst	0.01743882456378843
Citric_acid	0.0
Cytosine_aq	0.007469478273431511
D-Lactic_acid	0.003868552774868927
D-Mannose_aq	0.0175206175303954
DPA_cryst	0.15103799125393488
Glycine	0.0
Guanine	0.0
Hypoxanthine	0.0
L-Alanine	0.0
L-Arginine	0.04259199563279787
L-Asparagine	0.0
L-Aspartic_acid	0.0
L-Cysteine_aq	0.0
L-Glutamic_acid	0.0
L-Glutamine	0.0
L-Histidine	0.07441261035305165
L-Histidine_aq	0.0
L-Isoleucine	0.0
L-Leucine	0.0
L-Lysine	0.0
L-Methionine_aq	0.0
L-Phenylalanine	0.0
L-Phenylalanine_aq	0.0
L-Proline	0.0
L-Serine	0.0
L-Threonine	0.002410444295769935
L-Tryptophan	0.05346162838494143
L-Tyrosine	0.0
L-Valine	0.0
N-Acetylglucosamine_aq	0.09656086607341056
N-Acetylmuramic_acid	0.0
Peptidoglycan	0.08920453910920405
Succinic_acid	0.0
Thymine	0.0047779713690094825
Uracil	0.031947078809563864
Uric_acid	0.0
Xanthine	0.006026117163504153
intercept	1.1005666482693812
